freq (GHz)   S (cm-1/mol/cm^2)  E_low (cm-1) 
   104.553272  1.38255e-20       22.673 
   111.338620  4.50173e-21      299.555 
   112.016011  1.67140e-20       26.160 
   118.755092  5.36265e-21      303.269 
   119.477643  1.99104e-20       29.897 
   126.170383  6.30637e-21      307.230 
   126.938093  2.34088e-20       33.882 
   133.584418  7.33127e-21      311.439 
   134.397288  2.72132e-20       38.116 
   140.997100  8.43489e-21      315.895 
   141.855154  3.13025e-20       42.599 
   148.408428  9.61124e-21      320.598 
   149.311617  3.56598e-20       47.331 
   155.818255  1.08562e-20      325.548 
   156.766603  4.02791e-20       52.312 
   163.226530  1.21669e-20      330.746 
   164.220000  4.51315e-20       57.541 
   169.598726  3.68960e-21      607.066 
   170.633182  1.35357e-20      336.191 
   171.671828  5.01972e-20       63.019 
   176.958703  4.07736e-21      612.723 
   178.038180  1.49513e-20      341.882 
   179.121980  5.54472e-20       68.745 
   184.316907  4.47589e-21      618.625 
   185.441315  1.64127e-20      347.821 
   186.570303  6.08526e-20       74.720 
   191.673265  4.88517e-21      624.774 
   192.842648  1.79093e-20      354.007 
   194.016797  6.63864e-20       80.943 
   199.027709  5.30126e-21      631.167 
   200.242068  1.94348e-20      360.439 
   201.461384  7.20243e-20       87.415 
   206.380147  5.72373e-21      637.806 
   207.639481  2.09739e-20      367.119 
   208.903949  7.77104e-20       94.135 
   213.730522  6.14723e-21      644.690 
   215.034831  2.25206e-20      374.045 
   216.344460  8.34410e-20      101.103 
   221.078755  6.57172e-21      651.819 
   222.428040  2.40702e-20      381.217 
   223.782829  8.91619e-20      108.320 
   228.424772  6.99325e-21      659.194 
   229.819032  2.56141e-20      388.637 
   231.218982  9.48373e-20      115.784 
   235.768499  7.40934e-21      666.813 
   237.207734  2.71318e-20      396.303 
   238.652844  1.00457e-19      123.497 
   243.109862  7.81951e-21      674.678 
   244.594072  2.86272e-20      404.215 
   246.084342  1.05945e-19      131.457 
   250.448786  8.22014e-21      682.787 
   251.977971  3.00801e-20      412.374 
   253.513402  1.11322e-19      139.666 
   257.785198  8.60754e-21      691.141 
   259.359358  3.14905e-20      420.779 
   260.939949  1.16514e-19      148.122 
   265.119025  8.98006e-21      699.740 
   266.738159  3.28533e-20      429.430 
   268.363840  1.21501e-19      156.826 
   272.450190  9.33640e-21      708.583 
   274.114299  3.41491e-20      438.328 
   275.785211  1.26264e-19      165.778 
   279.778621  9.67563e-21      717.671 
   281.487705  3.53736e-20      447.471 
   283.203777  1.30761e-19      174.977 
   287.104244  9.99262e-21      727.004 
   288.858301  3.65241e-20      456.861 
   290.619535  1.34983e-19      184.424 
   294.426984  1.02891e-20      736.580 
   296.226015  3.75993e-20      466.496 
   298.032410  1.38893e-19      194.118 
   301.746768  1.05604e-20      746.401 
   303.590774  3.85815e-20      476.377 
   305.442324  1.42488e-19      204.059 
   309.063520  1.08088e-20      756.467 
   310.952497  3.94711e-20      486.504 
   312.849217  1.45740e-19      214.248 
   316.377167  1.10301e-20      766.776 
   318.311120  4.02698e-20      496.876 
   320.252992  1.48655e-19      224.683 
   323.687636  1.12248e-20      777.329 
   325.666561  4.09713e-20      507.494 
   327.653598  1.51175e-19      235.366 
   330.994895  1.13915e-20      788.126 
   333.018759  4.15604e-20      518.357 
   335.050947  1.53313e-19      246.295 
   338.298738  1.15313e-20      799.167 
   340.367639  4.20513e-20      529.465 
   342.444968  1.55088e-19      257.471 
   345.599223  1.16407e-20      810.451 
   347.713112  4.24404e-20      540.818 
   349.835604  1.56451e-19      268.894 
   352.896232  1.17214e-20      821.979 
   355.055065  4.27247e-20      552.417 
   357.222729  1.57463e-19      280.563 
   360.189691  1.17755e-20      833.751 
   362.393479  4.29022e-20      564.260 
   364.606320  1.58044e-19      292.479 
   367.479525  1.17999e-20      845.765 
   369.728285  4.29813e-20      576.349 
   371.986287  1.58263e-19      304.641 
   374.765660  1.17972e-20      858.023 
   377.059392  4.29516e-20      588.681 
