freq (GHz)   S (cm-1/mol/cm^2)  E_low (cm-1) 
   107.611433  1.51314e-20       23.336 
   114.584950  4.83147e-21      304.259 
   115.292293  1.82801e-20       26.926 
   122.217481  5.75280e-21      308.081 
   122.971981  2.17610e-20       30.771 
   129.848760  6.76206e-21      312.158 
   130.650417  2.55787e-20       34.873 
   137.478709  7.85560e-21      316.489 
   138.327522  2.97084e-20       39.231 
   145.107251  9.03190e-21      321.075 
   146.003220  3.41491e-20       43.845 
   152.734306  1.02844e-20      325.915 
   153.677480  3.88847e-20       48.716 
   160.359796  1.16086e-20      331.010 
   161.350079  4.38914e-20       53.842 
   166.950473  3.47840e-21      611.130 
   167.983643  1.30011e-20      336.359 
   169.021083  4.91337e-20       59.224 
   174.525616  3.86705e-21      616.699 
   175.605726  1.44504e-20      341.962 
   176.690335  5.46109e-20       64.862 
   182.099002  4.26952e-21      622.520 
   183.226096  1.59507e-20      347.820 
   184.357849  6.02670e-20       70.755 
   189.670520  4.68359e-21      628.595 
   190.844490  1.74936e-20      353.932 
   192.023490  6.60966e-20       76.905 
   197.240020  5.10716e-21      634.921 
   198.461036  1.90713e-20      360.298 
   199.687101  7.20409e-20       83.310 
   204.807516  5.53706e-21      641.501 
   206.075494  2.06766e-20      366.918 
   207.348718  7.80691e-20       89.971 
   212.372899  5.97144e-21      648.332 
   213.687839  2.22936e-20      373.791 
   215.008220  8.41743e-20       96.887 
   219.936081  6.40736e-21      655.416 
   221.297978  2.39155e-20      380.919 
   222.665524  9.02775e-20      104.059 
   227.497014  6.84352e-21      662.753 
   228.905950  2.55317e-20      388.301 
   230.320560  9.63561e-20      111.487 
   235.055588  7.27410e-21      670.341 
   236.511411  2.71381e-20      395.936 
   237.973266  1.02395e-19      119.169 
   242.611736  7.69980e-21      678.182 
   244.114520  2.87197e-20      403.826 
   245.623530  1.08338e-19      127.107 
   250.165380  8.11670e-21      686.274 
   251.715124  3.02677e-20      411.968 
   253.271291  1.14151e-19      135.300 
   257.716440  8.52078e-21      694.619 
   259.313145  3.17672e-20      420.365 
   260.916470  1.19779e-19      143.749 
   265.264838  8.91208e-21      703.215 
   266.908503  3.32184e-20      429.014 
   268.558980  1.25222e-19      152.452 
   272.810496  9.28708e-21      712.064 
   274.501122  3.46082e-20      437.918 
   276.198762  1.30401e-19      161.410 
   280.353336  9.64449e-21      721.164 
   282.090922  3.59236e-20      447.074 
   283.835719  1.35357e-19      170.623 
   287.893278  9.98112e-21      730.515 
   289.677824  3.71689e-20      456.483 
   291.469778  1.39984e-19      180.091 
   295.430245  1.02963e-20      740.118 
   297.261751  3.83336e-20      466.146 
   299.100863  1.44304e-19      189.813 
   302.964157  1.05872e-20      749.973 
   304.842629  3.93985e-20      476.062 
   306.728915  1.48313e-19      199.790 
   310.494937  1.08512e-20      760.079 
   312.420326  4.03719e-20      486.230 
   314.353776  1.51943e-19      210.021 
   318.022506  1.10887e-20      770.436 
   319.994890  4.12458e-20      496.651 
   321.975475  1.55160e-19      220.507 
   325.546784  1.13000e-20      781.044 
   327.566127  4.20222e-20      507.325 
   329.593870  1.58008e-19      231.247 
   333.067691  1.14836e-20      791.903 
   335.133996  4.26854e-20      518.252 
   337.208896  1.60465e-19      242.241 
   340.585168  1.16353e-20      803.013 
   342.698418  4.32394e-20      529.431 
   344.820476  1.62472e-19      253.489 
   348.099143  1.17592e-20      814.373 
   350.259321  4.36797e-20      540.862 
   352.428521  1.64089e-19      264.991 
   355.609428  1.18517e-20      825.985 
   357.816605  4.40128e-20      552.545 
   360.032978  1.65302e-19      276.747 
   363.116078  1.19146e-20      837.847 
   365.370213  4.42364e-20      564.481 
   367.633744  1.66065e-19      288.756 
   370.618967  1.19503e-20      849.959 
   372.920059  4.43383e-20      576.668 
   375.230747  1.66410e-19      301.019 
   378.118015  1.19531e-20      862.321 
   380.466064  4.43383e-20      589.107 
   382.823910  1.66333e-19      313.536 
   385.613143  1.19311e-20      874.934 
   388.008150  4.42364e-20      601.798 
   390.413153  1.65874e-19      326.305 
   393.104274  1.18790e-20      887.797 
   395.546237  4.40230e-20      614.741 
   397.998398  1.65036e-19      339.328 
   400.591328  1.17999e-20      900.909 
   403.080247  4.37098e-20      627.935 
   405.579566  1.63787e-19      352.604 
   408.074226  1.16944e-20      914.272 
   410.610101  4.33091e-20      641.380 
   413.156578  1.62211e-19      366.133 
   415.552890  1.15632e-20      927.883 
   418.135721  4.28035e-20      655.077 
   420.729354  1.60280e-19      379.914 
   423.027241  1.14098e-20      941.745 
   425.657027  4.22162e-20      669.024 
   428.297818  1.58008e-19      393.948 
   430.497199  1.12326e-20      955.856 
   433.173940  4.15508e-20      683.223 
   435.861881  1.55446e-19      408.235 
   437.962695  1.10352e-20      970.215 
   440.686382  4.08018e-20      697.672 
   443.421487  1.52574e-19      422.773 
   445.423624  1.08213e-20      984.824 
   448.194266  3.99926e-20      712.371 
   450.976530  1.49479e-19      437.564 
   452.879939  1.05872e-20      999.682 
   455.697527  3.91092e-20      727.322 
   458.526955  1.46110e-19      452.607 
   460.331534  1.03366e-20     1014.788 
   463.196089  3.81662e-20      742.522 
   466.072665  1.42521e-19      467.902 
   467.778347  1.00735e-20     1030.143 
   470.689855  3.71774e-20      757.973 
   473.613588  1.38765e-19      483.449 
   475.220295  9.79669e-21     1045.747 
   478.178755  3.61393e-20      773.673 
   481.149645  1.34828e-19      499.247 
   482.657297  9.50778e-21     1061.598 
   485.662709  3.50574e-20      789.623 
   488.680755  1.30731e-19      515.296 
   490.089275  9.21042e-21     1077.698 
   493.141637  3.39453e-20      805.823 
   496.206835  1.26526e-19      531.597 
   497.516150  8.90593e-21     1094.046 
   500.615464  3.28080e-20      822.273 
   503.727822  1.22230e-19      548.148 
   504.937843  8.59566e-21     1110.641 
   508.084106  3.16504e-20      838.972 
   511.243620  1.17836e-19      564.951 
   512.354274  8.28093e-21     1127.484 
   515.547486  3.04705e-20      855.919 
   518.754156  1.13417e-19      582.004 
   519.765364  7.96121e-21     1144.574 
   523.005525  2.92873e-20      873.116 
   526.259350  1.08938e-19      599.308 
   527.171033  7.64151e-21     1161.912 
