freq (GHz)   S (cm-1/mol/cm^2)  E_low (cm-1) 
   114.701270  1.63072e-20       15.306 
   126.502006  3.94984e-21      376.290 
   127.439058  2.19371e-20       19.132 
   139.143961  5.14611e-21      380.509 
   140.174700  2.85745e-20       23.383 
   151.783560  6.52648e-21      385.151 
   152.907980  3.62393e-20       28.059 
   164.420589  8.09057e-21      390.214 
   165.638685  4.49034e-20       33.159 
   177.054833  9.83058e-21      395.698 
   178.366599  5.45606e-20       38.684 
   189.686078  1.17403e-20      401.604 
   191.091508  6.51447e-20       44.634 
   202.314111  1.38064e-20      407.931 
   203.813197  7.65913e-20       51.008 
   214.938716  1.60132e-20      414.680 
   216.531451  8.88136e-20       57.806 
   225.883962  3.36341e-21      775.248 
   227.559680  1.83434e-20      421.849 
   229.246055  1.01714e-19       65.029 
   238.408032  3.81048e-21      782.782 
   240.176789  2.07768e-20      429.440 
   241.956795  1.15181e-19       72.676 
   250.928042  4.27247e-21      790.735 
   252.789827  2.32905e-20      437.451 
   254.663457  1.29056e-19       80.747 
   263.443777  4.74547e-21      799.105 
   265.398581  2.58630e-20      445.883 
   267.365824  1.43278e-19       89.242 
   275.955024  5.22492e-21      807.892 
   278.002837  2.84629e-20      454.736 
   280.063683  1.57645e-19       98.160 
   288.461568  5.70531e-21      817.097 
   290.602380  3.10727e-20      464.009 
   292.756819  1.72020e-19      107.502 
   300.963197  6.18272e-21      826.719 
   303.196996  3.36573e-20      473.703 
   305.445017  1.86243e-19      117.267 
   313.459696  6.65088e-21      836.758 
   315.786470  3.61976e-20      483.816 
   318.128061  2.00207e-19      127.456 
   325.950851  7.10689e-21      847.214 
   328.370588  3.86616e-20      494.350 
   330.805738  2.13786e-19      138.067 
   338.436449  7.54361e-21      858.087 
   340.949136  4.10279e-20      505.303 
   343.477832  2.26767e-19      149.102 
   350.916276  7.95938e-21      869.376 
   353.521900  4.32692e-20      516.676 
   356.144129  2.39100e-19      160.559 
   363.390117  8.34986e-21      881.081 
   366.088664  4.53711e-20      528.468 
   368.804413  2.50599e-19      172.439 
   375.857760  8.71123e-21      893.202 
   378.649215  4.73020e-20      540.680 
   381.458470  2.61144e-19      184.741 
   388.318989  9.03814e-21      905.740 
   391.203338  4.90658e-20      553.310 
   394.106084  2.70757e-19      197.465 
   400.773591  9.32995e-21      918.693 
   403.750819  5.06267e-20      566.359 
   406.747042  2.79241e-19      210.611 
   413.221352  9.58251e-21      932.061 
   416.291443  5.19732e-20      579.827 
   419.381126  2.86536e-19      224.178 
   425.662058  9.79669e-21      945.845 
   428.824996  5.31104e-20      593.713 
   432.008124  2.92671e-19      238.167 
   438.095495  9.96964e-21      960.043 
   441.351262  5.40231e-20      608.017 
   444.627820  2.97495e-19      252.578 
   450.521450  1.01013e-20      974.656 
   453.870029  5.46990e-20      622.739 
   457.239998  3.01078e-19      267.409 
   462.939706  1.01901e-20      989.684 
   466.381080  5.51543e-20      637.878 
   469.844443  3.03375e-19      282.661 
   475.350052  1.02372e-20     1005.126 
   478.884202  5.53706e-20      653.435 
   482.440942  3.04424e-19      298.333 
   487.752273  1.02419e-20     1020.982 
   491.379180  5.53579e-20      669.409 
   495.029277  3.04214e-19      314.425 
   500.146154  1.02042e-20     1037.252 
   503.865798  5.51416e-20      685.799 
   507.609235  3.02816e-19      330.938 
   512.531482  1.01293e-20     1053.935 
   516.343844  5.46990e-20      702.607 
   520.180600  3.00247e-19      347.870 
   524.908042  1.00180e-20     1071.031 
   528.813101  5.40604e-20      719.830 
   532.743157  2.96537e-19      365.221 
   537.275620  9.87141e-21     1088.540 
   541.273355  5.32328e-20      737.469 
   545.296690  2.91796e-19      382.992 
   549.634003  9.68901e-21     1106.462 
   553.724392  5.22251e-20      755.524 
   557.840985  2.86075e-19      401.181 
   561.982975  9.47937e-21     1124.796 
   566.165996  5.10481e-20      773.995 
   570.375826  2.79498e-19      419.788 
   574.322322  9.24016e-21     1143.541 
   578.597953  4.97370e-20      792.880 
   582.900998  2.72132e-19      438.814 
   586.651831  8.97799e-21     1162.699 
   591.020049  4.82925e-20      812.180 
   595.416285  2.63985e-19      458.258 
   598.971286  8.69319e-21     1182.267 
