freq (GHz)   S (cm-1/mol/cm^2)  E_low (cm-1) 
   117.207663  1.74413e-20       15.640 
   129.255707  4.14552e-21      380.556 
   130.223639  2.34520e-20       19.550 
   142.172668  5.39858e-21      384.868 
   143.237373  3.05337e-20       23.894 
   155.087168  6.84352e-21      389.610 
   156.248641  3.86972e-20       28.672 
   167.998984  8.47772e-21      394.783 
   169.257219  4.79379e-20       33.884 
   180.907892  1.02939e-20      400.387 
   182.262884  5.81941e-20       39.529 
   193.813669  1.22851e-20      406.421 
   195.265410  6.94351e-20       45.609 
   206.716091  1.44371e-20      412.886 
   208.264573  8.15792e-20       52.123 
   219.614934  1.67332e-20      419.782 
   221.260150  9.45321e-20       59.069 
   230.779164  3.44968e-21      784.269 
   232.509975  1.91549e-20      427.107 
   234.251915  1.08188e-19       66.450 
   243.574083  3.90462e-21      791.967 
   245.400990  2.16810e-20      434.863 
   247.239646  1.22399e-19       74.264 
   256.364762  4.37501e-21      800.091 
   258.287755  2.42817e-20      443.049 
   260.223117  1.37050e-19       82.511 
   269.150977  4.85489e-21      808.643 
   271.170045  2.69389e-20      451.664 
   273.202104  1.52012e-19       91.191 
   281.932505  5.34047e-21      817.621 
   284.047639  2.96196e-20      460.709 
   286.176382  1.67063e-19      100.304 
   294.709124  5.82478e-21      827.025 
   296.920311  3.22983e-20      470.184 
   299.145729  1.82129e-19      109.850 
   307.480609  6.30637e-21      836.855 
   309.787838  3.49526e-20      480.089 
   312.109919  1.97006e-19      119.828 
   320.246738  6.77609e-21      847.112 
   322.649996  3.75474e-20      490.422 
   325.068727  2.11534e-19      130.239 
   333.007287  7.23235e-21      857.794 
   335.506561  4.00571e-20      501.184 
   338.021931  2.25621e-19      141.082 
   345.762033  7.66972e-21      868.902 
   348.357309  4.24599e-20      512.376 
   350.969304  2.39045e-19      152.357 
   358.510752  8.08126e-21      880.435 
   361.202017  4.47280e-20      523.996 
   363.910623  2.51698e-19      164.064 
   371.253221  8.46797e-21      892.394 
   374.040460  4.68359e-20      536.044 
   376.845664  2.63499e-19      176.203 
   383.989217  8.82225e-21      904.778 
   386.872415  4.87730e-20      548.521 
   389.774202  2.74207e-19      188.773 
   396.718517  9.14070e-21      917.586 
   399.697658  5.05219e-20      561.425 
   402.696012  2.83909e-19      201.775 
   409.440896  9.42279e-21      930.819 
   412.515965  5.20570e-20      574.758 
   415.610870  2.92401e-19      215.207 
   422.156132  9.66672e-21      944.477 
   425.327111  5.33678e-20      588.518 
   428.518551  2.99626e-19      229.071 
   434.864001  9.86687e-21      958.558 
   438.130873  5.44477e-20      602.705 
   441.418832  3.05548e-19      243.364 
   447.564280  1.00272e-20      973.064 
   450.927027  5.52942e-20      617.320 
   454.311487  3.10155e-19      258.089 
   460.256744  1.01433e-20      987.993 
   463.715348  5.59087e-20      632.361 
   467.196292  3.13386e-19      273.243 
   472.941171  1.02160e-20     1003.346 
   476.495614  5.62833e-20      647.829 
   480.073021  3.15268e-19      288.827 
   485.617338  1.02442e-20     1019.121 
   489.267598  5.64130e-20      663.723 
   492.941452  3.15849e-19      304.840 
   498.285019  1.02324e-20     1035.320 
   502.031079  5.63092e-20      680.043 
   505.801359  3.15050e-19      321.283 
   510.943993  1.01784e-20     1051.941 
   514.785830  5.59860e-20      696.789 
   518.652517  3.13097e-19      338.155 
   523.594035  1.00874e-20     1068.984 
   527.531629  5.54344e-20      713.961 
   531.494701  3.09798e-19      355.455 
   536.234921  9.95587e-21     1086.449 
   540.268251  5.46864e-20      731.557 
   544.327688  3.05478e-19      373.184 
   548.866428  9.79218e-21     1104.336 
   552.995471  5.37501e-20      749.579 
   557.151251  3.00040e-19      391.341 
   561.488333  9.59576e-21     1122.644 
   565.713066  5.26356e-20      768.024 
   569.965167  2.93548e-19      409.925 
   574.100411  9.36870e-21     1141.373 
   578.420811  5.13546e-20      786.895 
   582.769210  2.86272e-19      428.937 
   586.702439  9.11547e-21     1160.523 
   591.118482  4.99320e-20      806.189 
   595.563155  2.78086e-19      448.376 
   599.294193  8.83851e-21     1180.094 
