freq (GHz)   S (cm-1/mol/cm^2)  E_low (cm-1) 
   102.031878  2.02899e-23        1.908 
   104.391706  5.87326e-23       34.438 
   104.711076  1.25945e-28     2911.933 
   104.914699  4.80595e-24      326.603 
   105.453553  5.68695e-28     2588.401 
   106.301689  2.34196e-27     2283.713 
   106.374262  8.38068e-24      396.986 
   107.227553  8.78778e-27     1997.921 
   107.567842  9.31707e-24      376.388 
   108.296280  3.00386e-26     1731.074 
   109.260510  1.00341e-23      252.018 
   109.331028  9.31921e-26     1483.215 
   110.821374  2.64350e-25     1254.388 
   111.539320  6.69698e-25     1044.631 
   111.902792  1.23078e-23      301.119 
   112.532316  1.34735e-23       64.696 
   112.553583  3.14542e-24      682.468 
   112.577899  7.91005e-24      287.922 
   113.978014  4.88292e-28     2641.179 
   114.312876  3.44334e-28     2306.851 
   114.574439  8.08685e-24       24.398 
   114.706685  1.60243e-24      853.976 
   115.004629  2.03882e-27     2333.352 
   115.291388  2.54144e-23       91.449 
   115.645995  2.06101e-27     1998.962 
   115.722145  1.49375e-23      202.801 
   115.744666  1.62472e-23      124.072 
   115.867078  7.71755e-27     2044.409 
   116.570248  2.64655e-26     1774.399 
   116.859712  1.19338e-23      300.729 
   117.117826  8.21636e-26     1523.369 
   117.201739  8.22582e-24      417.904 
   117.514377  2.30611e-25     1291.360 
   117.631786  5.03245e-24      554.278 
   117.759312  5.84358e-25     1078.413 
   117.801656  2.73703e-24      709.841 
   117.862500  1.33407e-24      884.562 
   118.478548  5.83014e-23       18.709 
   123.066106  2.24429e-25     1021.212 
   123.914004  7.01260e-24      530.101 
   124.496482  1.16810e-22       52.971 
   124.614092  9.95358e-23       37.920 
   124.981549  1.38861e-28     2967.983 
   125.921707  6.37499e-28     2641.317 
   126.953484  2.66857e-27     2333.487 
   127.127445  4.40534e-27     1782.046 
   128.107910  1.01807e-26     2044.545 
   128.668791  8.23719e-23       25.432 
   129.294171  3.53248e-26     1774.539 
   129.803360  1.36735e-22       70.539 
   130.584304  7.61867e-24       20.038 
   130.732792  1.75784e-24      625.478 
   130.769245  1.11784e-25     1523.516 
   131.886308  3.19139e-25     1291.519 
   131.936529  7.21239e-24      554.527 
   132.114040  8.63335e-23       48.564 
   132.258969  1.86973e-28     2912.448 
   133.471470  5.28177e-23        6.346 
   133.579400  8.45628e-28     2588.929 
   134.018275  1.92788e-24      884.753 
   134.398207  8.43100e-25     1078.583 
   134.417591  1.53313e-24      167.768 
   134.535252  1.69855e-23       56.942 
   134.703278  2.09353e-23      113.219 
   134.722075  3.47040e-27     2284.249 
   134.808987  3.61726e-26     1324.139 
   134.826120  6.36472e-23       15.540 
   134.873840  4.85377e-23       48.472 
   135.566280  2.87925e-23      174.047 
   135.691665  1.29146e-26     1998.461 
   136.343659  2.05627e-23      188.693 
   136.492011  4.35391e-26     1731.614 
   136.847951  1.67525e-23      283.441 
   137.126617  1.32886e-25     1483.752 
   137.520630  1.18927e-23      397.406 
   137.597122  3.66504e-25     1254.918 
   137.835764  7.41958e-24      530.587 
   137.906997  9.12598e-25     1045.151 
   138.041018  4.12078e-24      682.954 
   138.050725  2.04588e-24      854.486 
   138.208070  1.43344e-24      355.043 
   138.573717  1.93901e-25      933.477 
   139.484024  6.72635e-25      610.358 
   141.158760  4.26166e-23        8.270 
   141.195795  1.65264e-23      339.195 
   141.513165  4.46662e-24      710.042 
   141.653160  1.61763e-22       90.569 
   144.436664  1.31244e-23      440.076 
   145.311584  1.44770e-28     3024.666 
   146.020421  1.77860e-23        3.637 
   146.449705  6.75584e-28     2694.869 
   146.458984  2.65142e-28     2551.279 
   147.703025  2.87527e-27     2383.898 
   149.024959  1.11424e-26     2091.808 
   149.209905  2.50484e-23      282.945 
   150.547745  3.93622e-26     1818.647 
   151.708747  3.14181e-28     2857.691 
   151.917560  6.28897e-24       16.140 
   151.938666  1.26061e-25     1564.462 
   152.953645  1.88269e-23       49.947 
   153.015054  3.19727e-23        5.311 
   153.148983  1.39662e-27     2537.312 
   154.133393  3.70237e-25     1329.294 
   154.402879  5.63481e-27     2235.782 
   154.825986  9.65782e-25     1113.187 
   155.232875  2.60303e-23      102.956 
   155.259591  5.83955e-26     1426.969 
   155.474270  2.06148e-26     1953.151 
   155.481014  4.80263e-24      738.296 
   156.033445  2.64655e-23      175.258 
   156.366320  6.83249e-26     1689.467 
   157.058684  2.24171e-23      266.789 
   157.081124  2.04918e-25     1444.776 
   157.588146  1.62997e-23      377.560 
   157.620516  5.55494e-25     1219.118 
   157.983249  1.35825e-24     1012.533 
   158.001699  1.04179e-23      507.540 
   158.171454  2.98937e-24      825.054 
   158.171895  5.90445e-24      656.714 
   160.005354  2.41368e-24      916.168 
   160.143612  5.79401e-23       10.798 
   160.398699  4.18966e-24      570.808 
   160.802569  1.93099e-22      113.002 
   161.392836  1.82970e-23      418.117 
   162.020378  1.44637e-22       29.033 
   162.775883  1.07567e-22       13.280 
   164.323367  1.79961e-23      379.976 
   165.620726  1.20248e-22       65.014 
   167.056655  6.86561e-28     2749.055 
   168.506362  2.96879e-27     2434.947 
   170.112752  1.17025e-26     2139.711 
   170.284816  3.35567e-24       12.979 
   170.546952  8.47968e-23       18.709 
   171.132151  5.08721e-28     2803.565 
   171.708649  4.19353e-26     1863.396 
   172.687850  2.22372e-27     2486.330 
   172.920160  1.01246e-23      605.296 
   173.198948  7.48478e-25      950.659 
   173.207299  1.97961e-23       43.531 
   173.785208  1.37271e-25     1606.050 
   174.048282  8.82022e-27     2187.951 
   174.576458  3.03026e-23       93.374 
   174.818985  1.15899e-23      579.534 
   174.850249  6.58232e-23      112.533 
   175.132184  4.04277e-25     1367.718 
   175.216515  3.17234e-26     1908.478 
   176.093350  3.27778e-23      162.454 
   176.194713  1.03343e-25     1647.960 
   176.940267  2.86932e-23      250.791 
   176.984287  3.04565e-25     1406.441 
   177.561397  2.59645e-24      948.249 
   177.585094  8.11109e-25     1183.961 
   177.647037  2.14921e-23      358.357 
   177.996801  1.94751e-24      980.558 
   178.040260  1.40566e-23      485.141 
   178.213942  4.20610e-24      796.267 
   178.236806  8.14290e-24      631.119 
   178.416396  7.95022e-24      518.906 
   178.846285  1.94348e-24      196.982 
   179.005570  1.11040e-24     1148.433 
   179.375367  1.63448e-23      423.500 
   179.721107  1.67448e-23      485.816 
   184.287736  1.13626e-22       29.033 
   184.532956  1.24618e-23      469.803 
   186.929303  5.17821e-28     2412.774 
   187.294432  4.96454e-23        2.260 
   187.475166  2.30345e-22      137.783 
   187.722006  6.74651e-28     2803.877 
   188.366530  1.19146e-22       64.256 
   188.699491  1.00758e-26     1899.778 
   189.123890  2.72194e-22      144.037 
   189.392341  2.70632e-22      172.252 
   189.431728  2.96606e-27     2486.633 
