freq (GHz)   S (cm-1/mol/cm^2)  E_low (cm-1) 
   333.900983  3.65157e-21       44.370 
   337.580147  4.17810e-21       48.560 
   339.857269  4.96112e-21       42.415 
   376.886495  5.04289e-21       55.508 
   379.757714  5.63481e-21       59.821 
   381.600657  6.56416e-21       53.752 
   419.640353  6.61728e-21       68.079 
   421.928238  7.26573e-21       72.488 
   423.440776  8.34218e-21       66.480 
   462.236037  8.32874e-21       82.077 
   464.090939  9.02359e-21       86.562 
   465.346692  1.02419e-20       80.605 
   504.719340  1.01246e-20       97.496 
   506.245032  1.08537e-20      102.042 
   507.297518  1.22034e-20       96.127 
   547.119631  1.19448e-20      114.331 
   548.389735  1.26964e-20      118.929 
   549.278705  1.41638e-20      113.049 
   589.456233  1.37240e-20      132.581 
   590.524265  1.44870e-20      137.221 
   591.279803  1.60576e-20      131.371 
