freq (GHz)   S (cm-1/mol/cm^2)  E_low (cm-1) 
   100.095614  4.81703e-27     2106.148 
   100.563007  1.02442e-25     1414.908 
   100.878105  1.58518e-24        5.382 
   102.690061  5.63611e-24      464.345 
   102.707252  1.12948e-24      890.699 
   103.807617  3.68620e-26     1658.226 
   104.029418  2.14427e-23        1.912 
   104.033582  2.06814e-23       92.118 
   104.239295  6.12180e-23       34.550 
   104.915582  1.84875e-26     1831.029 
   106.674828  3.51787e-24      608.186 
   106.692524  5.56774e-29     3103.126 
   106.898712  1.19696e-26     1920.690 
   107.060209  1.04756e-23      253.170 
   107.843470  1.37937e-23       73.551 
   108.915423  4.70413e-25      612.834 
   108.955915  4.97484e-24      558.138 
   109.740407  6.41622e-26     1575.030 
   109.757585  1.53631e-23      136.782 
   109.830663  3.51220e-27     2202.254 
   110.363800  1.95020e-24      771.353 
   111.293830  2.85943e-28     2767.809 
   111.755021  6.22271e-24      327.708 
   111.875541  2.80143e-24      714.754 
   112.595147  9.32136e-28     2502.871 
   113.970873  9.68455e-25      953.812 
   114.565370  9.13018e-24      289.053 
   115.090705  2.03039e-25     1338.191 
   115.184464  2.24068e-28     2822.490 
   115.317557  1.49479e-23      219.286 
   115.904939  1.42718e-25     1096.784 
   116.023203  1.33499e-27     2451.453 
   116.980440  5.70400e-23       18.825 
   117.412612  4.31598e-25     1155.534 
   117.590456  4.87954e-29     3161.056 
   118.577430  2.21656e-23      175.236 
   118.994236  1.20720e-23      321.230 
   119.483080  1.22540e-24      356.530 
   119.621933  5.71320e-25     1120.555 
   120.023400  1.10250e-24      684.519 
   120.712912  1.73133e-25     1376.486 
   120.909309  5.66473e-27     2154.111 
   123.057690  9.47718e-24       24.671 
   123.194700  8.61151e-24      442.520 
   123.855622  6.26007e-26     1616.629 
   124.655301  2.80272e-27     1882.365 
   124.864740  1.68182e-23       65.306 
   125.427130  1.51558e-24      168.493 
   125.870241  2.17961e-26     1875.834 
   126.837903  2.04446e-26     1875.924 
   126.906466  6.03364e-29     3161.151 
   126.962460  5.40480e-24      583.167 
   126.980700  1.03772e-23      442.748 
   127.081960  1.51943e-24      922.152 
   127.428230  1.84833e-23      284.803 
   128.103810  3.27702e-24      743.034 
   128.605130  1.25771e-22       53.108 
   129.105830  4.41448e-23       48.801 
   129.514810  1.07865e-22       38.026 
   129.651671  6.03642e-27     2154.326 
   130.680010  3.02468e-24      743.135 
   130.859400  1.48416e-23      341.048 
   131.014860  8.94086e-23       48.738 
   131.164549  7.63096e-26     1616.669 
   131.274930  2.11485e-23      125.184 
   131.719549  3.11659e-28     2822.702 
   131.999183  1.75299e-27     2105.041 
   132.290221  1.61317e-27     2451.789 
   132.744860  1.45640e-22       70.722 
   134.004860  8.95528e-23       25.518 
   134.203820  1.51384e-24      922.403 
   134.746051  3.90642e-28     2768.261 
   134.943300  2.04870e-23      204.543 
   135.696020  5.53834e-23        6.360 
   135.963000  1.31486e-23      420.794 
   136.129175  2.40314e-25     1376.659 
   136.682912  1.46480e-27     2503.205 
   137.011654  8.57589e-29     3103.690 
   137.585050  6.80423e-25     1120.938 
   139.355060  8.80196e-24       20.294 
   139.474540  1.70836e-23      303.254 
   140.306170  6.92754e-23       15.614 
   140.800160  2.75156e-25     1338.707 
   141.757804  6.25431e-27     2202.714 
   142.690180  6.99486e-25     1155.843 
   143.057110  1.69934e-22       90.817 
   143.357800  1.23106e-23      421.351 
   143.851420  1.00387e-25     1575.674 
   144.127521  2.88921e-26     1410.067 
   145.970290  1.75259e-24      954.265 
   146.393720  8.20501e-24      583.184 
   146.550080  2.04352e-23       57.550 
   146.605520  4.64172e-23        8.336 
   146.730710  3.30734e-26     1831.798 
   147.070617  2.42873e-26     1921.281 
   147.170988  6.19554e-29     3219.809 
   147.239280  7.84475e-24      558.793 
   149.432768  9.85551e-27     2107.037 
   150.381100  2.63863e-23      114.309 
   150.486920  7.77999e-24      608.954 
   150.878810  4.44098e-24      715.565 
   151.378630  1.93811e-23        3.697 
   151.950856  2.65937e-27     2401.343 
   152.216275  3.22834e-28     2878.230 
   152.303302  8.53256e-26     1658.952 
   153.677140  2.88855e-24      627.131 
   154.278342  6.50248e-28     2714.667 
   154.373340  2.24895e-24      891.639 
   155.389620  2.69389e-23      190.419 
   156.408230  1.44205e-28     3046.955 
   157.135253  1.74936e-23      381.827 
   157.393760  1.52996e-27     2555.594 
   157.687230  1.02183e-24     1086.985 
   157.769874  1.84663e-25     1005.162 
   157.966212  4.16946e-26     1516.430 
   158.199740  3.47600e-23        5.382 
   158.427745  2.74397e-25     1415.771 
   158.845080  4.49034e-24      771.938 
   159.447960  2.28444e-23      285.940 
   160.342990  2.00115e-22      113.336 
