freq (GHz)   S (cm-1/mol/cm^2)  E_low (cm-1) 
   158.971811  3.85105e-22       14.631 
   172.181403  6.19982e-22       17.731 
   178.605403  9.07568e-22       11.021 
   206.176005  8.84462e-22       19.934 
   215.220653  1.20193e-21       23.475 
   219.949442  1.60428e-21       16.979 
   251.825770  1.62659e-21       26.811 
   258.255826  2.02525e-21       30.654 
   261.843721  2.55729e-21       24.316 
   296.550064  2.62107e-21       35.211 
   301.286124  3.09870e-21       39.268 
   304.077844  3.77207e-21       33.050 
   340.714155  3.86171e-21       45.103 
   344.310612  4.41346e-21       49.318 
   346.528481  5.23696e-21       43.193 
   384.527287  5.32573e-21       56.468 
   387.328795  5.94674e-21       60.803 
   389.120932  6.92276e-21       54.752 
   428.110747  6.97878e-21       69.295 
   430.339544  7.65736e-21       73.723 
   431.808196  8.78778e-21       67.731 
   471.537818  8.76959e-21       83.575 
   473.342168  9.49684e-21       88.078 
   474.559605  1.07741e-20       82.135 
   514.853754  1.06434e-20       99.304 
   516.335829  1.14046e-20      103.867 
   517.354532  1.28197e-20       97.965 
   558.087642  1.25337e-20      116.477 
   559.319721  1.33192e-20      121.090 
   560.178650  1.48552e-20      115.222 
